City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
326,Imbituba,BR,67.89,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
327,Lata,PT,70.03,broken clouds,40.1629,-8.3327,Casa Maquia
328,Karpathos,GR,76.21,clear sky,35.507,27.2132,Alex
329,Bhatkal,IN,78.31,overcast clouds,13.9667,74.5667,Nilawar Palace
330,Payo,ID,67.48,clear sky,-3.7508,103.6372,Mess keban agung
331,Chalons-En-Champagne,FR,64.98,scattered clouds,48.9539,4.3672,Hotel D'Angleterre
332,Saint-Joseph,RE,66.56,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
335,Babayurt,RU,71.62,clear sky,43.6002,46.7789,Otel' Babaiurt
337,Tungi,BD,84.2,haze,23.89,90.4058,Grand Dhaka Hotel
338,Porto Novo,BJ,75.25,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
340,Trincomalee,LK,81.43,overcast clouds,8.5711,81.2335,Welcombe Hotel
341,Vanimo,PG,76.39,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
342,Kytmanovo,RU,64.2,scattered clouds,53.4593,85.4479,
343,Xiuyan,CN,71.71,overcast clouds,40.2928,123.2744,Helin Holiday Hotel
346,Caravelas,BR,69.78,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
347,Hami,CN,83.19,clear sky,42.8,93.45,Laoyutang Resort
349,Saint-Paul,RE,68.09,light rain,-21.0096,55.2707,Boucan Canot
350,Alta Floresta,BR,82.38,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
352,Juneau,US,60.84,light rain,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
355,Borogontsy,RU,65.41,clear sky,62.6683,131.1683,
356,Florianopolis,BR,65.43,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
358,Devrek,TR,65.35,clear sky,41.2192,31.9558,Otel Kıyıcı
359,Fare,PF,77.83,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
361,Mahebourg,MU,70.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
362,Bengkulu,ID,73.83,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
364,Porto Empedocle,IT,81.9,clear sky,37.2934,13.5264,Hotel dei Pini
