City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Thinadhoo,MV,2021-07-25 21:16:07,0.5333,72.9333,81.81,70,75,0.69
169,Cururupu,BR,2021-07-25 21:16:08,-1.8283,-44.8683,77.52,80,79,3.67
170,Salvador,SV,2021-07-25 21:16:08,13.8333,-88.9167,82.44,53,99,1.43
171,Diego De Almagro,CL,2021-07-25 21:16:08,-26.3667,-70.05,66.2,23,0,8.59
172,Jibuti,DJ,2021-07-25 21:16:09,11.5,42.5,83.62,61,29,5.41
173,Nouadhibou,MR,2021-07-25 21:16:10,20.931,-17.0347,71.58,88,6,19.57
174,Igarka,RU,2021-07-25 21:16:10,67.4667,86.5833,52.79,96,76,3.89
175,Rawson,AR,2021-07-25 21:16:10,-43.3002,-65.1023,49.6,41,37,15.59
176,Krasnoselkup,RU,2021-07-25 21:16:11,65.7,82.4667,53.49,91,63,6.38
177,Bonavista,CA,2021-07-25 21:16:11,48.6499,-53.1147,62.6,85,17,12.64
178,Alikalia,SL,2021-07-25 21:16:12,9.1667,-11.4,69.21,99,98,2.77
179,Saint Anthony,US,2021-07-25 21:16:12,45.0205,-93.218,94.14,25,1,3.0
180,Takoradi,GH,2021-07-25 21:16:12,4.8845,-1.7554,75.07,79,21,8.46
181,Mangaratiba,BR,2021-07-25 21:16:13,-22.9597,-44.0406,71.02,68,0,3.4
182,Mitsamiouli,KM,2021-07-25 21:15:39,-11.3847,43.2844,76.1,64,97,12.03
183,Annau,TM,2021-07-25 21:16:14,37.8876,58.516,94.5,31,0,13.8
184,Olafsvik,IS,2021-07-25 21:16:14,64.8945,-23.7142,49.55,92,81,26.96
185,Catio,GW,2021-07-25 21:16:14,11.2833,-15.25,77.02,86,99,3.98
186,Caibarien,CU,2021-07-25 21:16:15,22.5206,-79.4669,87.12,71,35,11.45
187,Umm Kaddadah,SD,2021-07-25 21:16:15,13.6017,26.6876,86.88,47,96,17.43
188,Morondava,MG,2021-07-25 21:16:15,-20.2833,44.2833,70.09,56,23,14.72
189,San Ramon,US,2021-07-25 21:16:16,37.7799,-121.978,97.23,41,1,8.99
190,Kanye,BW,2021-07-25 21:16:16,-24.9667,25.3327,41.52,44,0,4.18
191,Ihosy,MG,2021-07-25 21:16:17,-22.4,46.1167,52.56,83,27,13.4
192,Mbala,ZM,2021-07-25 21:16:17,-8.8402,31.3659,50.27,69,42,12.46
193,Emba,KZ,2021-07-25 21:16:18,48.8264,58.1442,72.77,42,0,7.56
194,Opuwo,NA,2021-07-25 21:16:18,-18.0607,13.84,62.6,34,5,7.47
195,Sangmelima,CM,2021-07-25 21:16:18,2.9333,11.9833,67.01,99,98,3.89
196,Kutum,SD,2021-07-25 21:16:19,14.2,24.6667,73.63,70,99,5.46
197,Mantua,IT,2021-07-25 21:15:19,45.1667,10.7833,80.92,76,80,5.01
198,Grindavik,IS,2021-07-25 21:16:20,63.8424,-22.4338,50.47,81,75,25.32
199,Arica,CL,2021-07-25 21:14:53,-18.475,-70.3042,62.83,72,90,10.36
200,Chuy,UY,2021-07-25 21:16:20,-33.6971,-53.4616,63.23,90,1,5.23
201,Wegrow,PL,2021-07-25 21:16:21,52.3995,22.0163,75.54,69,98,7.78
202,Santa Cruz De La Palma,ES,2021-07-25 21:15:56,28.6835,-17.7642,73.54,78,0,17.27
203,Cabedelo,BR,2021-07-25 21:15:17,-6.9811,-34.8339,74.07,82,3,12.48
204,Sao Geraldo Do Araguaia,BR,2021-07-25 21:16:21,-6.4006,-48.555,88.38,32,40,3.31
205,Namikupa,TZ,2021-07-25 21:16:22,-10.8333,39.6,61.05,79,0,3.29
206,Bilma,NE,2021-07-25 21:16:23,18.6853,12.9164,80.06,72,96,6.11
207,Ilulissat,GL,2021-07-25 21:15:46,69.2167,-51.1,53.62,37,100,10.36
208,Umm Bab,QA,2021-07-25 21:16:23,25.2142,50.8072,96.48,61,0,5.93
209,Vardo,NO,2021-07-25 21:16:23,70.3705,31.1107,46.6,80,100,20.18
210,Beyneu,KZ,2021-07-25 21:16:24,45.3167,55.2,87.17,19,63,13.51
211,Taltal,CL,2021-07-25 21:16:25,-25.4,-70.4833,60.08,73,24,4.99
212,Lagos,NG,2021-07-25 21:12:03,6.5833,3.75,74.55,81,49,4.74
213,Bengkulu,ID,2021-07-25 21:16:25,-3.8004,102.2655,74.03,85,1,5.39
214,Sandwick,GB,2021-07-25 21:16:26,60.0,-1.25,57.02,94,20,14.97
215,Praia Da Vitoria,PT,2021-07-25 21:16:27,38.7333,-27.0667,71.76,94,75,11.03
